year_month,monthly_revenue
200301,116692.77
200302,128403.64
200303,160517.14
200304,185848.59
200305,179435.55
200306,150470.77
200307,201940.36
200308,178257.11
200309,236697.85
200310,514336.21
200311,988025.15
200312,276723.25
200401,292385.21
200402,289502.84
200403,217691.26
200404,187575.77
200405,248325.3
200406,343370.74
200407,325563.49
200408,419327.09
200409,283799.8
200410,500233.86
200411,979291.98
200412,428838.17
200501,307737.02
200502,317192.17
200503,359711.96
200504,344820.62
200505,441474.94
